y,deg3,deg2,deg1
0.00433,0.0636781,0.064665,0.0444235
0.00434,0.0641293,0.0643139,0.0459467
0.00435,0.0646567,0.0640657,0.0475089
0.00436,0.0652584,0.0639216,0.0491066
0.00437,0.0659324,0.0638824,0.0507363
0.00438,0.0666764,0.0639482,0.052395
0.00439,0.0674882,0.0641187,0.0540801
0.0044,0.0682909,0.0644032,0.0557749
0.00441,0.0687175,0.0649261,0.0566421
0.00442,0.0691716,0.0655392,0.0575165
0.00443,0.0696524,0.0662401,0.058398
0.00444,0.0701596,0.0670258,0.0592861
0.00445,0.0706924,0.0678935,0.0601806
0.00446,0.0712504,0.0688401,0.0610812
0.00447,0.071833,0.0698624,0.0619877
0.00448,0.0724395,0.0709571,0.0628998
0.00449,0.0730694,0.0721209,0.0638172
0.0045,0.073722,0.0733505,0.0647396
0.00451,0.0743968,0.0746427,0.065667
0.00452,0.0750932,0.0759943,0.0665992
0.00453,0.0758105,0.0774021,0.0675358
0.00454,0.0760708,0.0784219,0.0680168
0.00455,0.0762367,0.0793127,0.068287
0.00456,0.0764103,0.0802286,0.0685586
0.00457,0.0765916,0.081169,0.0688317
0.00458,0.0767806,0.082133,0.0691061
0.00459,0.0769772,0.0831196,0.0693819
0.0046,0.0771814,0.0841282,0.069659
0.00461,0.077393,0.085158,0.0699374
0.00462,0.0776121,0.086208,0.0702171
0.00463,0.0778386,0.0872778,0.0704981
0.00464,0.0780724,0.0883666,0.0707804
0.00465,0.0783134,0.0894736,0.071064
0.00466,0.0785616,0.0905981,0.0713488
0.00467,0.0786515,0.0913995,0.0715312
0.00468,0.0785758,0.0917093,0.0715226
0.00469,0.0785035,0.0920253,0.0715147
0.0047,0.0784346,0.0923474,0.0715073
0.00471,0.078369,0.0926755,0.0715006
0.00472,0.0783068,0.0930097,0.0714945
0.00473,0.0782479,0.0933497,0.071489
0.00474,0.0781925,0.0936956,0.071484
0.00475,0.0781404,0.0940472,0.0714797
0.00476,0.0780918,0.0944046,0.071476
0.00477,0.0780466,0.0947677,0.0714729
0.00478,0.0780047,0.0951363,0.0714704
0.00479,0.0779663,0.0955105,0.0714685
0.0048,0.0779139,0.0958511,0.0714663
0.00481,0.0777753,0.0956997,0.0714172
0.00482,0.0776389,0.0955506,0.0713685
0.00483,0.0775048,0.0954036,0.0713202
0.00484,0.0773728,0.0952587,0.0712724
0.00485,0.0772431,0.0951161,0.0712251
0.00486,0.0771157,0.0949756,0.0711782
0.00487,0.0769905,0.0948374,0.0711318
0.00488,0.0768676,0.0947014,0.0710858
0.00489,0.0767469,0.0945676,0.0710403
0.0049,0.0766286,0.094436,0.0709953
0.00491,0.0765125,0.0943067,0.0709507
0.00492,0.0763988,0.0941796,0.0709065
0.00493,0.0762873,0.0940548,0.0708629
0.00494,0.0761741,0.0938077,0.0708382
0.00495,0.0760619,0.0935187,0.0708224
0.00496,0.0759514,0.093231,0.0708071
0.00497,0.0758427,0.0929445,0.0707922
0.00498,0.0757359,0.0926593,0.0707776
0.00499,0.0756308,0.0923754,0.0707635
0.005,0.0755276,0.0920928,0.0707497
0.00501,0.0754261,0.0918115,0.0707364
0.00502,0.0753266,0.0915315,0.0707235
0.00503,0.0752288,0.0912529,0.0707109
0.00504,0.0751329,0.0909756,0.0706988
0.00505,0.0750388,0.0906998,0.0706871
0.00506,0.0749466,0.0904253,0.0706757
0.00507,0.0748598,0.0901587,0.07067
0.00508,0.0747778,0.0899028,0.0706742
0.00509,0.0746973,0.0896479,0.0706787
0.0051,0.0746184,0.089394,0.0706835
0.00511,0.0745409,0.0891412,0.0706887
0.00512,0.0744649,0.0888894,0.0706943
0.00513,0.0743903,0.0886386,0.0707002
0.00514,0.0743173,0.0883889,0.0707064
0.00515,0.0742458,0.0881403,0.070713
0.00516,0.0741758,0.0878927,0.0707199
0.00517,0.0741074,0.0876463,0.0707272
0.00518,0.0740404,0.0874009,0.0707349
0.00519,0.073975,0.0871566,0.0707429
0.0052,0.0739097,0.086917,0.0707511
0.00521,0.0738395,0.0867195,0.070752
0.00522,0.0737705,0.086523,0.0707533
0.00523,0.0737028,0.0863273,0.0707549
0.00524,0.0736362,0.0861325,0.0707568
0.00525,0.0735708,0.0859387,0.0707589
0.00526,0.0735067,0.0857457,0.0707614
0.00527,0.0734438,0.0855536,0.0707642
0.00528,0.073382,0.0853625,0.0707672
0.00529,0.0733215,0.0851723,0.0707706
0.0053,0.0732622,0.0849831,0.0707743
0.00531,0.0732042,0.0847948,0.0707782
0.00532,0.0731474,0.0846074,0.0707825
0.00533,0.0730918,0.084421,0.070787
0.00534,0.0730233,0.0842516,0.0707796
0.00535,0.0729534,0.0840884,0.0707669
0.00536,0.0728844,0.0839259,0.0707544
0.00537,0.0728164,0.0837642,0.0707422
0.00538,0.0727493,0.0836033,0.0707302
0.00539,0.0726832,0.0834432,0.0707185
0.0054,0.0726181,0.0832838,0.0707071
0.00541,0.0725539,0.0831253,0.0706958
0.00542,0.0724908,0.0829675,0.0706849
0.00543,0.0724286,0.0828105,0.0706742
0.00544,0.0723674,0.0826543,0.0706638
0.00545,0.0723071,0.0824989,0.0706536
0.00546,0.0722479,0.0823443,0.0706436
0.00547,0.072181,0.082192,0.0706275
0.00548,0.0721068,0.0820424,0.0705999
0.00549,0.0720335,0.0818935,0.0705725
0.0055,0.0719609,0.0817452,0.0705452
0.00551,0.0718891,0.0815975,0.0705183
0.00552,0.0718181,0.0814505,0.0704915
0.00553,0.0717479,0.0813041,0.0704649
0.00554,0.0716784,0.0811584,0.0704386
0.00555,0.0716098,0.0810133,0.0704125
0.00556,0.0715419,0.0808689,0.0703866
0.00557,0.0714748,0.0807252,0.0703609
0.00558,0.0714085,0.0805821,0.0703354
0.00559,0.071343,0.0804397,0.0703101
0.0056,0.0712758,0.0802979,0.0702848
0.00561,0.0711985,0.0801554,0.0702452
0.00562,0.0711218,0.0800135,0.0702058
0.00563,0.0710457,0.0798722,0.0701666
0.00564,0.0709703,0.0797313,0.0701275
0.00565,0.0708955,0.079591,0.0700886
0.00566,0.0708213,0.0794512,0.07005
0.00567,0.0707478,0.079312,0.0700115
0.00568,0.0706749,0.0791733,0.0699732
0.00569,0.0706027,0.0790352,0.0699351
0.0057,0.0705311,0.0788976,0.0698971
0.00571,0.0704602,0.0787606,0.0698594
0.00572,0.0703899,0.0786241,0.0698218
0.00573,0.0703202,0.0784881,0.0697844
0.00574,0.0702425,0.0783522,0.0697393
0.00575,0.0701639,0.0782165,0.0696908
0.00576,0.0700858,0.0780813,0.0696424
0.00577,0.0700083,0.0779465,0.0695941
0.00578,0.0699312,0.0778122,0.069546
0.00579,0.0698547,0.0776783,0.0694981
0.0058,0.0697787,0.0775448,0.0694503
0.00581,0.0697033,0.0774118,0.0694027
0.00582,0.0696284,0.0772793,0.0693553
0.00583,0.069554,0.0771472,0.069308
0.00584,0.0694801,0.0770156,0.0692609
0.00585,0.0694068,0.0768844,0.0692139
0.00586,0.069334,0.0767537,0.0691671
0.00587,0.0692575,0.0766236,0.0691173
0.00588,0.0691778,0.0764941,0.0690619
0.00589,0.0690986,0.076365,0.0690067
0.0059,0.0690198,0.0762363,0.0689516
0.00591,0.0689414,0.0761079,0.0688967
0.00592,0.0688634,0.0759799,0.0688418
0.00593,0.0687859,0.0758523,0.0687872
0.00594,0.0687088,0.0757251,0.0687326
0.00595,0.0686322,0.0755982,0.0686782
0.00596,0.068556,0.0754717,0.0686239
0.00597,0.0684803,0.0753457,0.0685698
0.00598,0.0684049,0.0752199,0.0685158
0.00599,0.0683301,0.0750946,0.068462
0.006,0.0682544,0.0749698,0.0684081
